,type,group,item,cond,correct_answer,question,sentence
41,target,3,10,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that married Mary yesterday morning ?
42,target,4,10,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary married yesterday morning ?
43,target,1,10,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think married Mary yesterday morning ?
44,target,3,11,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary emailed yesterday morning ?
45,target,4,11,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that emailed Mary yesterday morning ?
46,target,1,11,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary emailed yesterday morning ?
47,target,2,11,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think emailed Mary yesterday morning ?
48,target,4,12,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary blamed yesterday morning ?
49,target,1,12,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that blamed Mary yesterday morning ?
50,target,2,12,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary blamed yesterday morning ?
51,target,3,12,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think blamed Mary yesterday morning ?
52,target,1,13,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary forgave yesterday morning ?
53,target,2,13,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that forgave Mary yesterday morning ?
54,target,3,13,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary forgave yesterday morning ?
55,target,4,13,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think forgave Mary yesterday morning ?
56,target,2,14,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary congratulated yesterday morning ?
57,target,3,14,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that congratulated Mary yesterday morning ?
58,target,4,14,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary congratulated yesterday morning ?
59,target,1,14,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think congratulated Mary yesterday morning ?
60,target,3,15,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary offended yesterday morning ?
61,target,4,15,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that offended Mary yesterday morning ?
62,target,1,15,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary offended yesterday morning ?
63,target,2,15,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think offended Mary yesterday morning ?
64,target,4,16,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary punished yesterday morning ?
65,target,1,16,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that punished Mary yesterday morning ?
66,target,2,16,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary punished yesterday morning ?
67,target,3,16,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think punished Mary yesterday morning ?
68,target,1,17,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary scolded yesterday morning ?
69,target,2,17,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that scolded Mary yesterday morning ?
70,target,3,17,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary scolded yesterday morning ?
71,target,4,17,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think scolded Mary yesterday morning ?
72,target,2,18,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary trusted yesterday morning ?
73,target,3,18,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that trusted Mary yesterday morning ?
74,target,4,18,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary trusted yesterday morning ?
75,target,1,18,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think trusted Mary yesterday morning ?
76,target,3,19,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary embarrassed yesterday morning ?
77,target,4,19,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that embarrassed Mary yesterday morning ?
78,target,1,19,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary embarrassed yesterday morning ?
79,target,2,19,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think embarrassed Mary yesterday morning ?
80,target,4,20,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary avoided yesterday morning ?
81,target,1,20,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that avoided Mary yesterday morning ?
82,target,2,20,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary avoided yesterday morning ?
83,target,3,20,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think avoided Mary yesterday morning ?
84,target,1,21,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary contacted yesterday morning ?
85,target,2,21,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that contacted Mary yesterday morning ?
86,target,3,21,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary contacted yesterday morning ?
87,target,4,21,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think contacted Mary yesterday morning ?
88,target,2,22,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary disappointed yesterday morning ?
89,target,3,22,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that disappointed Mary yesterday morning ?
90,target,4,22,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary disappointed yesterday morning ?
91,target,1,22,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think disappointed Mary yesterday morning ?
92,target,3,23,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary frightened yesterday morning ?
93,target,4,23,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that frightened Mary yesterday morning ?
94,target,1,23,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary frightened yesterday morning ?
95,target,2,23,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think frightened Mary yesterday morning ?
96,target,4,24,a,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that Mary rewarded yesterday morning ?
97,target,1,24,b,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think that rewarded Mary yesterday morning ?
98,target,2,24,c,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think Mary rewarded yesterday morning ?
99,target,3,24,d,0,この文は、英語として文法的（ただしい）と思いますか？,Who do you think rewarded Mary yesterday morning ?
